date,title,source,keyword_type
, Global climate strike: Greta Thunberg and school students lead climate crisis protest – as it happened,The Guardian,Climate Crisis
2020-01-16, Irish PM under fire for extolling benefits of climate crisis,The Guardian,Climate Crisis
2021-03-10, Pollen season grows 20 days in 30 years as climate crisis hits hay fever sufferers,The Guardian,Climate Crisis
, Peter Garrett urges Bill Shorten to declare climate emergency if Labor wins,The Guardian,Climate Crisis
2020-01-02, I never thought I'd see the Australian rainforest burning. What will it take for us to wake up to the climate crisis?Joëlle Gergis,The Guardian,Climate Crisis
2019-05-29," In its insatiable pursuit of power, Silicon Valley is fuelling the climate crisisRebecca Solnit",The Guardian,Climate Crisis
2018-02-07," Don't blame meat for the climate crisis, say European livestock farmers",The Guardian,Climate Crisis
2023-05-02, Jeremy Clarkson finally recognises climate crisis during Asia trip,The Guardian,Climate Crisis
2019-01-07, Individuals can’t solve the climate crisis. Governments need to step upAnders Levermann,The Guardian,Climate Crisis
2020-03-02," Australia is 'ground zero' in climate crisis and must show leadership, top researchers say",The Guardian,Climate Crisis
2020-03-26, Climate emergency: world 'may have crossed tipping points’,The Guardian,Climate Crisis
2018-08-29, Climate crisis topping UK election agenda is 'unprecedented' change,The Guardian,Climate Crisis
2021-03-17, A youth group helped Biden win. Now they want him to fix climate crisis,The Guardian,Climate Crisis
2019-11-01, Venice council flooded moments after rejecting climate crisis plan,The Guardian,Climate Crisis
2021-08-26,'Individual actions do add up': Christiana Figueres on the climate crisis,The Guardian,Climate Crisis
2021-06-01,‘My moment’: the activists fighting climate crisis and winning elections,The Guardian,Climate Crisis
2019-10-15, World's largest oil firm agrees to carbon cuts to tackle climate crisis,The Guardian,Climate Crisis
2020-05-18,LettersGetting to grips with the climate crisis,The Guardian,Climate Crisis
2022-12-16, 'Our futures are at stake': sport's climate crisis weakness and how to change itJonathan Overend,The Guardian,Climate Crisis
2018-04-15," EU ignoring climate crisis with livestock farm subsidies, campaigners warn",The Guardian,Climate Crisis
2018-04-08," Yes, I'm striking over the climate crisis. And suing the US government, tooVic Barrett",The Guardian,Climate Crisis
2018-10-08, Climate crisis to blame for $67bn of Hurricane Harvey damage – study,The Guardian,Climate Crisis
2021-08-28,University green rankings at risk despite climate emergency,The Guardian,Climate Crisis
, Oil regulator to revise remit to address climate crisis,The Guardian,Climate Crisis
, 'Wake up and face facts' : Greta Thunberg pleads with politicians to lead fight against climate crisis – as it happened,The Guardian,Climate Crisis
2018-03-01,InterviewChristiana Figueres on the climate emergency: ‘This is the decade and we are the generation’Damian Carrington,The Guardian,Climate Crisis
2021-07-21,ExplainerWhat can you do to fight the climate crisis?,The Guardian,Climate Crisis
2019-08-28, Climate emergency edict in UK to shape decision on Heathrow expansion review,The Guardian,Climate Crisis
2021-04-06," US Congress commits to act on climate crisis, despite Donald Trump",The Guardian,Climate Crisis
2018-05-21, This must be the climate crisis electionEd Miliband,The Guardian,Climate Crisis
," Pacific islands will survive climate crisis because they 'pick our fruit', Australia's deputy PM says",The Guardian,Climate Crisis
2018-09-08," Colorado River flow shrinks from climate crisis, risking ‘severe water shortages’",The Guardian,Climate Crisis
2020-09-08, Jeremy Corbyn: PM is 'failing spectacularly' on climate crisis,The Guardian,Climate Crisis
2021-05-03," White House ‘undercutting evidence' of climate crisis, says analyst who resigned",The Guardian,Climate Crisis
2020-01-02, Trudeau will fuel the fires of our climate crisis if he approves Canada's mega mineTzeporah Berman,The Guardian,Climate Crisis
2020-05-02, Atlas reveals birds pushed further north amid climate crisis,The Guardian,Climate Crisis
2019-06-04, Climate crisis linked to at least 15 $1bn-plus disasters in 2019,The Guardian,Climate Crisis
2019-02-07, Floridians still divided over climate crisis as Dorian rages,The Guardian,Climate Crisis
2021-06-11," Greta Thunberg 'wants a concrete plan, not just nice words' to fight climate crisis",The Guardian,Climate Crisis
2019-06-28,Teacher rebellion: How Mr Jones gave up his job to fight the climate crisis,The Guardian,Climate Crisis
2021-05-06,LettersClimate emergency bill offers real hope,The Guardian,Climate Crisis
2018-07-30," In Somalia,  the climate emergency is already here. The world cannot ignore itMustapha Tahir",The Guardian,Climate Crisis
2018-02-17," Rein in advertising to help tackle climate crisis, report urges",The Guardian,Climate Crisis
2018-02-04,"Markets not paying attention to climate crisis, IMF says",The Guardian,Climate Crisis
2018-07-11," Climate crisis: world is at its hottest for at least 12,000 years – study",The Guardian,Climate Crisis
2020-03-16, Patriotism could be the unlikely answer to solving the climate crisisAnatol Lieven,The Guardian,Climate Crisis
2021-08-26, 'Ecological grief': Greenland residents traumatised by climate emergency,The Guardian,Climate Crisis
2020-05-31, 'Panic is setting in': Jayda G brings climate crisis home to fans,The Guardian,Climate Crisis
2020-05-05," Omission of climate crisis at RNC risks losing voters, some conservatives warn",The Guardian,Climate Crisis
2020-01-29, Gucci goes carbon neutral in attempt to tackle climate crisis,The Guardian,Climate Crisis
, The Frontline: experts answer your questions on the impacts of the climate emergency – as it happened,The Guardian,Climate Crisis
2020-09-19, Greener BP must do more than talk tough on the climate crisis,The Guardian,Climate Crisis
2020-12-03," In 2019 the public woke up to the climate crisis. When will the politicians?  
Stephen Buranyi",The Guardian,Climate Crisis
2021-10-22, From the climate crisis to Covid-19: can journalism focus on the stories that matter?Mark Hertsgaard and Kyle Pope,The Guardian,Climate Crisis
2018-07-24, Climate crisis likely to increase violent deaths of young people – report,The Guardian,Climate Crisis
2019-05-17, ExxonMobil misled the public about the climate crisis. Now they're trying to silence criticsGeoffrey Supran and Naomi Oreskes,The Guardian,Climate Crisis
2021-05-21, Jonathan Franzen: online rage is stopping us tackling the climate crisis,The Guardian,Climate Crisis
2019-11-22, Climate crisis: what the carmakers have to say,The Guardian,Climate Crisis
2018-07-30, Ethiopia plants 350m trees in a day to help tackle climate crisis,The Guardian,Climate Crisis
, Climate emergency: Lagarde says ECB must step up action,The Guardian,Climate Crisis
2020-03-24,"LettersThe climate emergency, military emissions and Greta Thunberg",The Guardian,Climate Crisis
2019-06-04, 'This is Dunkirk. This is 9/11': Al Gore implores Davos to tackle climate crisis,The Guardian,Climate Crisis
2020-01-27, Fatal freshwater skin disease in dolphins linked to climate crisis,The Guardian,Climate Crisis
2020-03-05," Climate crisis 233m years ago reshaped life on Earth, say scientists",The Guardian,Climate Crisis
2018-04-27," In tackling the global climate crisis, doom and optimism are both dangerous trapsZeke Hausfather and Richard Betts",The Guardian,Climate Crisis
2018-06-02,How TV weathercasters became the unsung heroes of the climate crisis,The Guardian,Climate Crisis
2020-07-12,LettersRoyal Christmas cards drive home the climate crisis,The Guardian,Climate Crisis
2021-08-24,Is nuclear fusion the answer to the climate crisis?,The Guardian,Climate Crisis
2019-11-24, How the climate emergency could lead to a mental health crisisAnouchka Grose,The Guardian,Climate Crisis
2021-03-14, Australia waters down Pacific Islands plea on climate crisis,The Guardian,Climate Crisis
2018-11-01," Fighting climate crisis made harder by Covid-19 inequality, says WEF",The Guardian,Climate Crisis
,AnalysisThe planet's heating up but candidates' climate crisis response remains tepidEmily Holden in Washington,The Guardian,Climate Crisis
2018-11-13, Climate crisis will make insurance unaffordable for people who need it most,The Guardian,Climate Crisis
2018-06-13, The climate crisis is the most urgent threat of our time. Help us fight itKatharine Viner,The Guardian,Climate Crisis
2018-12-21, Davos 2020 should be all about climate crisis but Trump won't admit itLarry Elliott,The Guardian,Climate Crisis
2018-12-04,'All universities must commit to net-zero by 2030': tackling the campus climate crisis,The Guardian,Climate Crisis
2021-03-22,Brave or naive? Conservative Wagga surprises with climate emergency declaration,The Guardian,Climate Crisis
2021-07-14, BlackRock votes against 49 companies for lack of climate crisis progress,The Guardian,Climate Crisis
2020-02-12," The climate crisis isn’t just causing extreme weather. It’s fuelling extreme politics, tooNick Lowles",The Guardian,Climate Crisis
2019-03-23, Goldsmiths bans beef from university cafes to tackle climate crisis,The Guardian,Climate Crisis
2020-06-11,The football industry needs to wake up to the climate emergency,The Guardian,Climate Crisis
2018-05-11, Scotland drops aviation tax cut plans after declaring climate emergency,The Guardian,Climate Crisis
2018-03-27, Theresa May: Swiss holidays brought home impact of climate crisis,The Guardian,Climate Crisis
2021-06-16," After two years of school strikes, the world is still in a state of climate crisis denialGreta Thunberg, Luisa Neubauer, Anuna De Wever and Adélaïde Charlier",The Guardian,Climate Crisis
2019-04-14, Climate crisis: alarm at record-breaking heatwave in Siberia,The Guardian,Climate Crisis
2018-11-23, New Cumbria coalmine 'incompatible' with climate crisis goals,The Guardian,Climate Crisis
2021-10-05,'You have utterly no clue': why 'climate emergency' is Australia's ultimate outrage trigger,The Guardian,Climate Crisis
2019-05-15, Climate crisis will deepen the pandemic. A green stimulus plan can tackle bothDaniel Aldana Cohen and Daniel Kammen,The Guardian,Climate Crisis
2019-01-16, Fossil fuel exports make Australia one of the worst contributors to climate crisis,The Guardian,Climate Crisis
, How Republicans killed Oregon’s climate crisis bill – by fleeing the state,The Guardian,Climate Crisis
2019-10-12, Climate crisis: more than 100 Australian businesses and organisations support net-zero target,The Guardian,Climate Crisis
2020-12-11, Independent Sage scientists to join climate crisis battle,The Guardian,Climate Crisis
2018-06-23," Climate crisis more politically polarizing than abortion for US voters, study finds",The Guardian,Climate Crisis
2020-09-28, Killer heat: US racial injustices will worsen as climate crisis escalates,The Guardian,Climate Crisis
2020-09-10, Germany cuts fares for long-distance rail travel in response to climate crisis,The Guardian,Climate Crisis
2020-07-05," New Zealand schools to teach students about climate crisis, activism and 'eco anxiety'",The Guardian,Climate Crisis
2021-08-31, Tree planting 'has mind-blowing potential' to tackle climate crisis,The Guardian,Climate Crisis
2020-04-22,AnalysisShould one use a private jet to campaign over climate crisis?Fiona Harvey Environment correspondent,The Guardian,Climate Crisis
2020-09-20, Charleston aims to force fossil fuel companies to pay $2bn to combat climate crisis,The Guardian,Climate Crisis
2021-05-01, Climate crisis: 6 million people join latest wave of global protests,The Guardian,Climate Crisis
2019-07-01,LettersWhat can start and stop action on climate crisis,The Guardian,Climate Crisis
2020-09-15, Oxford Dictionaries declares 'climate emergency' the word of 2019,The Guardian,Climate Crisis
2018-12-13, Delay is deadly: what Covid-19 tells us about tackling the climate crisisJonathan Watts,The Guardian,Climate Crisis
2020-04-14," Climate crisis seriously damaging human health, report finds",The Guardian,Climate Crisis
2021-07-22, Florida appoints first chief science officer to take on climate crisis,The Guardian,Climate Crisis
2020-07-14, Baby sharks emerge from egg cases earlier and weaker in oceans warmed by climate crisis,The Guardian,Climate Crisis
2021-01-24, Bushfire survivors join claim against ANZ for financing climate crisis,The Guardian,Climate Crisis
2020-08-29, £30bn pension fund: we'll sack asset managers that ignore climate crisis,The Guardian,Climate Crisis
2019-12-01, This was supposed to be the climate crisis election. So what happened?Stephen Buranyi,The Guardian,Climate Crisis
2021-06-15, UK's big energy firms accused of failing to tackle climate crisis,The Guardian,Climate Crisis
2020-07-08, The planet faces a climate emergency – but activists need to strap in for the long haulAlice Bell,The Guardian,Climate Crisis
2020-04-07, Biden raises hopes of addressing climate crisis as Cop26 nears,The Guardian,Climate Crisis
2020-11-20, NGOs seek to convict French state of failing to tackle climate crisis,The Guardian,Climate Crisis
2019-04-22, Rise in snakebites across US linked to climate crisis and sprawling suburbs,The Guardian,Climate Crisis
2020-10-30, Climate crisis and antibiotic use could 'sink' fish farming industry – report,The Guardian,Climate Crisis
2022-06-26, David Pocock warns of devastating impact on sport if climate crisis inaction continues,The Guardian,Climate Crisis
2018-01-03,Growing pains: how the climate crisis is changing British gardens,The Guardian,Climate Crisis
2022-10-19, UK to put climate crisis and environment at the heart of overseas aid,The Guardian,Climate Crisis
2018-07-19,Cricket feels heat as climate crisis creates corridor of uncertainty,The Guardian,Climate Crisis
2018-05-10, EU accused of climate crisis hypocrisy after backing 32 gas projects,The Guardian,Climate Crisis
2020-04-27,"From foreign news to fashion, how our editors see the climate crisis",The Guardian,Climate Crisis
2022-02-24," Rewild a quarter of UK to fight climate crisis, campaigners urge",The Guardian,Climate Crisis
2019-07-07,Fuelling the climate crisis: why LNG is no miracle cure for Australia’s coal addiction,The Guardian,Climate Crisis
2019-06-27, Extinction Rebellion highlight climate emergency at Glastonbury,The Guardian,Climate Crisis
2021-08-11," If Jeff Bezos really wants to fight the climate crisis, he should just pay his taxesGuy T Saperstein",The Guardian,Climate Crisis
2020-05-08, The climate crisis must mean the end of British summer holidays in SpainPatrick Collinson,The Guardian,Climate Crisis
2021-02-20, The climate crisis has already arrived. Just look to California’s abnormal wildfiresAlastair Gee and Dani Anguiano,The Guardian,Climate Crisis
2021-05-12,"LettersClimate crisis, tree planting and new left economics",The Guardian,Climate Crisis
2018-04-10, ‘I keep my promises’: how Biden is using the climate crisis to appeal to rural votersArt Cullen,The Guardian,Climate Crisis
2018-04-23," The climate crisis will sweep away my country if the world doesn't keep its promisesDavid Kabua, President of the Marshall Islands",The Guardian,Climate Crisis
2022-04-25,Will Florida be lost forever to the climate crisis?,The Guardian,Climate Crisis
2021-07-31, John Kerry commits US to climate crisis fight but warns world is way off pace,The Guardian,Climate Crisis
2020-12-31, What if we covered the climate crisis like we did the start of the second world war?Bill Moyers,The Guardian,Climate Crisis
2020-05-12, Greta Thunberg says EU recovery plan fails to tackle climate crisis,The Guardian,Climate Crisis
2021-05-26, The Guardian view on coronavirus and the climate crisis: seize this chanceEditorial,The Guardian,Climate Crisis
2019-05-05," Starvation deaths of 200 reindeer in Arctic caused by climate crisis, say researchers",The Guardian,Climate Crisis
2019-08-28,The climate crisis explained in 10 charts,The Guardian,Climate Crisis
2018-06-18," As fires burn the west, top Democrats stay quiet on the climate crisis",The Guardian,Climate Crisis
2019-10-17, Tories focus on animal welfare over climate crisis in green agenda,The Guardian,Climate Crisis
2018-07-27, Climate crisis: record ocean heat in 2020 supercharged extreme weather,The Guardian,Climate Crisis
2018-09-28, Pacific leaders urge Scott Morrison to act on climate emergency following election win,The Guardian,Climate Crisis
2018-02-13, Extinction Rebellion and Momentum join forces on climate crisis,The Guardian,Climate Crisis
2022-10-19, Rory Stewart defends UK aid target and vows to tackle climate emergency,The Guardian,Climate Crisis
2020-12-26, Sucking carbon out of the air is no magic fix for the climate emergencySimon Lewis,The Guardian,Climate Crisis
2018-03-09, Methane emissions from coalmines could stoke climate crisis – study,The Guardian,Climate Crisis
2021-09-28, Vanguard refuses to sign up to climate crisis commitment,The Guardian,Climate Crisis
2018-03-19, Philip Hammond won’t tackle the climate crisis. But a Green New Deal wouldMolly Scott Cato,The Guardian,Climate Crisis
2018-04-05, Humpback whales may be struggling to breed as climate crisis depletes food,The Guardian,Climate Crisis
2021-07-21, Australian super fund agrees to factor climate crisis into decisions in ‘groundbreaking' case,The Guardian,Climate Crisis
2020-11-22, There's a climate crisis – but Trump's cabinet continues to backtrack on scienceKate Aronoff,The Guardian,Climate Crisis
2018-04-21, Climate crisis: today’s children face lives with tiny carbon footprints,The Guardian,Climate Crisis
2021-01-17, The Guardian view on the climate emergency: forests can help to save usEditorial,The Guardian,Climate Crisis
2018-11-01, Pope Francis declares 'climate emergency' and urges action,The Guardian,Climate Crisis
2020-02-01,The heat is on over the climate crisis. Only radical measures will work,The Guardian,Climate Crisis
2019-10-02,'We have a once-in-century chance': Naomi Klein on how we can fight the climate crisis,The Guardian,Climate Crisis
2020-10-14, Eco-venues and no-flyer zones: Edinburgh fringe tackles the climate crisis,The Guardian,Climate Crisis
2020-05-20, Being a black tree hugger has taught me that we must engage all citizens to fight climate crisisJustin Onwenu,The Guardian,Climate Crisis
2021-06-08, Accountants urged to help firms worldwide combat climate crisis,The Guardian,Climate Crisis
2020-07-31, JP Morgan economists warn climate crisis is threat to human race,The Guardian,Climate Crisis
2019-10-21, Climate crisis: Alaska is melting and it’s likely to accelerate global heating,The Guardian,Climate Crisis
2019-06-16, Two-thirds of bird species in North America could vanish in climate crisis,The Guardian,Climate Crisis
2018-06-17,ReviewFrom Greta Thunberg to Sally Morgan: 10 books to help kids come to grips with climate crisis,The Guardian,Climate Crisis
2018-01-08, Poor states ‘need extra cash to combat climate crisis threats’,The Guardian,Climate Crisis
2019-10-30, Climate crisis: business leaders say cost to taxpayers will spiral unless new policies introduced,The Guardian,Climate Crisis
2018-03-13, Australian businesses call for climate crisis and virus economic recovery to be tackled together,The Guardian,Climate Crisis
2019-08-15, Tackling degraded oceans could mitigate climate crisis - report,The Guardian,Climate Crisis
2020-03-07," Climate crisis poses serious risks for pregnancy, investigation finds",The Guardian,Climate Crisis
2019-02-01, Climate crisis cutting short Australia's winters and extending summers,The Guardian,Climate Crisis
2019-08-07," Firms ignoring climate crisis will go bankrupt, says Mark Carney",The Guardian,Climate Crisis
2018-02-28,"Climate crisis exerting increasing impact on UK, says Met Office",The Guardian,Climate Crisis
2022-02-24," Rewild to mitigate the climate crisis, urge leading scientists",The Guardian,Climate Crisis
2019-01-10,AnalysisClassical music must play its part in tackling the climate crisisJasper Parrott,The Guardian,Climate Crisis
2020-03-10, Climate emergency: 2019 was second hottest year on record,The Guardian,Climate Crisis
2020-06-29, Much shorter working weeks needed to tackle climate crisis – study,The Guardian,Climate Crisis
2018-10-03, Climate crisis: flooding threat ‘may force UK towns to be abandoned’,The Guardian,Climate Crisis
, Forget campfires… today’s scouts focus on climate crisis and homelessness,The Guardian,Climate Crisis
2021-10-05, Jess Phillips calls for citizens’ assembly to tackle climate crisis,The Guardian,Climate Crisis
2020-07-20, Prince William unveils 'Earthshot prize' to tackle climate crisis,The Guardian,Climate Crisis
2018-11-11, Why don’t we treat the climate crisis with the same urgency as coronavirus?Owen Jones,The Guardian,Climate Crisis
2021-10-25," UK railways cannot cope with climate crisis, says rail boss",The Guardian,Climate Crisis
2020-09-27," The climate crisis leaders' debate: what did we learn?Zoe Williams, Alice Bell, John Vidal and Ellie Mae O’Hagan",The Guardian,Climate Crisis
2022-10-19, Fighting climate crisis by avoiding meat ignores poor countries' needs – report,The Guardian,Climate Crisis
2020-10-26,Autumn seems to come later these days – is the climate crisis to blame?,The Guardian,Climate Crisis
2021-04-01, UN secretary general hails 'turning point' in climate crisis fight,The Guardian,Climate Crisis
2018-04-17," Climate crisis making autumn leaves fall earlier, study finds",The Guardian,Climate Crisis
2020-07-23, John Kerry says we can't leave climate emergency to 'neanderthals' in power,The Guardian,Climate Crisis
2020-10-06, We can’t trust the billionaires of Davos to solve a climate crisis they createdPayal Parekh,The Guardian,Climate Crisis
2019-10-01, Politics-as-usual can’t fix the climate crisis. Maybe it’s time to try a citizens’ assemblyDavid Farrell,The Guardian,Climate Crisis
2021-07-19," Labour, Lib Dems and SNP call for TV election debate on climate crisis",The Guardian,Climate Crisis
2018-08-15," Finally, the public wants action on the climate crisis. Now politics must catch up
Stephen Buranyi",The Guardian,Climate Crisis
, Richer nations accused of stalling progress on climate crisis,The Guardian,Climate Crisis
2018-10-21," If the US military is facing up to the climate crisis, shouldn't we all?Michael Klare",The Guardian,Climate Crisis
2019-11-19,LettersWe can all do our bit to tackle the climate crisis,The Guardian,Climate Crisis
2021-09-07,‘They’re suffering now’: Americans scramble to adapt to daily reality of climate crisis,The Guardian,Climate Crisis
2022-10-19, Scientists link record-breaking hurricane season to climate crisis,The Guardian,Climate Crisis
2021-09-08,"'I was inspired by Kylie': artists Jeremy Deller, Olafur Eliasson and Helen Cammock on their Guardian climate crisis covers",The Guardian,Climate Crisis
2020-09-28," Climate crisis: in coronavirus lockdown, nature bounces back – but for how long?",The Guardian,Climate Crisis
, Labour would force firms to fight climate crisis or lose contracts,The Guardian,Climate Crisis
2021-02-14,"UK infrastructure inadequate for climate emergency, experts warn",The Guardian,Climate Crisis
2018-07-22," If you think Covid is bad, wait until you hear about the climate crisisFirst Dog on the Moon",The Guardian,Climate Crisis
2018-09-28, RBS boss Alison Rose vows to take 'bold action' on climate crisis,The Guardian,Climate Crisis
2022-10-19,LettersFace up to the severity of the climate crisis,The Guardian,Climate Crisis
2020-10-01, We scientists must rise up to prevent the climate crisis. Words aren’t enoughCharlie Gardner and Claire Wordley,The Guardian,Climate Crisis
2020-12-12, The Swedish 15-year-old who's cutting class to fight the climate crisis,The Guardian,Climate Crisis
," Rich countries must update financial vows to tackle climate crisis, says UN",The Guardian,Climate Crisis
2019-03-05," On the frontline of the climate emergency, Bangladesh adapts",The Guardian,Climate Crisis
2018-02-04, Greta Thunberg: don't dump climate crisis on children to fix,The Guardian,Climate Crisis
2019-04-09," Climate crisis making world’s forests shorter and younger, study finds",The Guardian,Climate Crisis
2018-12-29, Lily Cole calls on UK banks to take climate crisis more seriously,The Guardian,Climate Crisis
2018-04-05," European Green Deal will change economy to solve climate crisis, says EU",The Guardian,Climate Crisis
2019-01-18, The Guardian joins a major media initiative to combat the climate crisis,The Guardian,Climate Crisis
, Sanders and Ocasio-Cortez move to declare climate crisis official emergency,The Guardian,Climate Crisis
2020-12-04, Adaptation isn’t enough. We’ve got to throw everything at the climate crisisFiona Harvey,The Guardian,Climate Crisis
2020-01-14, BHP boss announces $US400m plan to combat 'indisputable' climate crisis,The Guardian,Climate Crisis
2020-01-29," Climate crisis could displace 1.2bn people by 2050, report warns",The Guardian,Climate Crisis
2018-11-29," BBC's Seven Worlds, One Planet shines spotlight on climate crisis",The Guardian,Climate Crisis
2019-05-30, Two-thirds of Britons agree planet is in a climate emergency,The Guardian,Climate Crisis
2020-04-10, Justin Welby: investors must pressure firms to act on climate crisis,The Guardian,Climate Crisis
2021-10-21,Climate crisis breaks open generational rifts in US families,The Guardian,Climate Crisis
2020-10-29,"LettersAfter coronavirus, focus on the climate emergency",The Guardian,Climate Crisis
2021-08-04,LettersDon’t panic! We’re doing our bit on climate crisis,The Guardian,Climate Crisis
2019-03-03, California's Joshua tree could become first to win protections because of climate crisis,The Guardian,Climate Crisis
2020-05-19, Biggest UK fund manager invested in firms it shamed over climate crisis,The Guardian,Climate Crisis
2018-05-17," Teachers want climate crisis training, poll shows",The Guardian,Climate Crisis
2020-05-03, Council efforts to tackle climate crisis 'hampered by UK government',The Guardian,Climate Crisis
2019-08-14, New York to pass most progressive climate crisis plan in US,The Guardian,Climate Crisis
2018-08-01, World's beaches disappearing due to climate crisis – study,The Guardian,Climate Crisis
2018-05-07,Why Texas’s fossil fuel support will ‘spell disaster’ for climate crisis,The Guardian,Climate Crisis
2018-01-09, John Kerry launches coalition to fight climate crisis: ‘We are way behind’,The Guardian,Climate Crisis
2018-06-30, Sea turtles at risk as Trump weakens protections of animals endangered by climate crisis,The Guardian,Climate Crisis
2023-08-07, The Lion King missed an opportunity to talk about the climate crisisGrey Moran,The Guardian,Climate Crisis
2019-07-23,LettersWhy cutting cattle can’t solve the climate crisis,The Guardian,Climate Crisis
2020-08-27, European parliament split on declaring climate emergency,The Guardian,Climate Crisis
2021-10-02, US schools accused of censoring climate crisis message in graduation speeches,The Guardian,Climate Crisis
2020-09-17, South Korea vows to go carbon neutral by 2050 to fight climate emergency,The Guardian,Climate Crisis
2019-02-09," Climate crisis: 11,000 scientists warn of ‘untold suffering’",The Guardian,Climate Crisis
2020-08-06, School curriculum fails to reflect the urgency of the climate crisisEdmund Stubbs,The Guardian,Climate Crisis
2020-04-28, UK set to host critical UN climate crisis summit at end of 2020,The Guardian,Climate Crisis
2018-06-17, Population panic lets rich people off the hook for the climate crisis they are fuellingGeorge Monbiot,The Guardian,Climate Crisis
, Climate crisis blamed as temperature records broken in three nations,The Guardian,Climate Crisis
2020-01-05, Democrats must go to war with fossil fuel industry to take on the climate crisisKate Aronoff,The Guardian,Climate Crisis
2018-06-16, Labor MP urges war-like national mobilisation to tackle Australia's existential threat of climate crisis,The Guardian,Climate Crisis
2021-05-20, Climate crisis: aviation industry hears clamour for electric planes,The Guardian,Climate Crisis
2018-12-20, Red-state Utah embraces plan to tackle climate crisis in surprising shift,The Guardian,Climate Crisis
2022-10-19,LettersAid budget cuts will worsen the climate crisis,The Guardian,Climate Crisis
2019-11-18, Torres Strait islanders invite Scott Morrison to see climate crisis first hand,The Guardian,Climate Crisis
2021-05-31, Prince Charles calls for 'Marshall-like plan' to combat climate crisis,The Guardian,Climate Crisis
2018-08-28, Democrat calls on Google to stop funding climate crisis deniers,The Guardian,Climate Crisis
2020-03-09," Climate crisis threatens future of global sport, says report",The Guardian,Climate Crisis
2019-11-05, Today we pledge to give the climate crisis the attention it demandsKatharine Viner,The Guardian,Climate Crisis
2021-02-01, Estonia’s first female prime minister vows to tackle climate crisis,The Guardian,Climate Crisis
2019-09-19,The five: genetic fixes for the climate crisis,The Guardian,Climate Crisis
2018-05-23," Teaching climate crisis in classrooms critical for children, top educators say",The Guardian,Climate Crisis
2019-12-20,'Sand wars': the battle to replenish Florida’s beaches amid climate crisis,The Guardian,Climate Crisis
2019-05-17," Climate crisis already causing deaths and childhood stunting, report reveals",The Guardian,Climate Crisis
2019-03-01, New Zealand bushfire that demolished village leads to climate crisis debate,The Guardian,Climate Crisis
2018-05-31, British farmers are not the enemy in the battle against the climate crisisJoe Stanley,The Guardian,Climate Crisis
2021-08-12, Six sentences of hope: defining a unifying vision in the face of the climate crisisRichard Flanagan,The Guardian,Climate Crisis
2020-10-28, School strikers try to unite divided Belgium over climate crisis,The Guardian,Climate Crisis
2021-05-06,"One year to save the planet: a simple, surprising guide to fighting the climate crisis in 2020",The Guardian,Climate Crisis
2020-04-25," UK must become global leader in tackling climate crisis, says CBI",The Guardian,Climate Crisis
2021-08-26, Europe must lead on the climate crisis. The European Green Deal shows howUrsula von der Leyen,The Guardian,Climate Crisis
2018-11-15, Joe Biden’s plans to combat climate crisis have – predictably – provoked GOP backlash,The Guardian,Climate Crisis
2018-04-05, Prince Charles calls on City finance to fight climate emergency,The Guardian,Climate Crisis
2020-02-18, Climate crisis to AI: why firms and governments must change mindsetMohamed El-Erian,The Guardian,Climate Crisis
2021-02-02, Lewis Hamilton and Sebastian Vettel driving F1’s climate emergency plan,The Guardian,Climate Crisis
2018-05-13, G20 sounds alarm over climate emergency despite US objections,The Guardian,Climate Crisis
2021-08-26, Wisconsin launches taskforce to face 'grave threat' of climate crisis,The Guardian,Climate Crisis
2018-10-13, Court convicts French state for failure to address climate crisis,The Guardian,Climate Crisis
2019-12-23, Climate crisis: 2020 was joint hottest year ever recorded,The Guardian,Climate Crisis
2022-10-19, How should we cope with climate crisis? Ask survivors to take the leadNanette Antequisa,The Guardian,Climate Crisis
2018-05-23,America's year of fire and tempests means climate crisis just got very real,The Guardian,Climate Crisis
2019-08-21,How the climate crisis will change your plate in 2050,The Guardian,Climate Crisis
2021-06-03, Gove criticises US and Brazil for climate crisis scepticism,The Guardian,Climate Crisis
2020-02-03,Green party pledges to spend £100bn on tackling climate crisis,The Guardian,Climate Crisis
2019-08-10, John Hewson urges Liberal conscience vote on climate emergency motion,The Guardian,Climate Crisis
2020-01-25, Nearly all America's endangered species will struggle to adapt to climate crisis,The Guardian,Climate Crisis
2019-09-22,Why were whales increasingly caught in crab lines? Because of the climate crisis,The Guardian,Climate Crisis
," ExplainerClimate emergency: what the oil, coal and gas giants say",The Guardian,Climate Crisis
2020-06-06,"UK’s lack of plans to protect people from climate crisis ‘shocking’, say advisers",The Guardian,Climate Crisis
2021-07-13,AnalysisWhich Democrat has the best climate crisis plan? Compare their scoresEmily Holden in Washington,The Guardian,Climate Crisis
, Hunger strikers target Pelosi in push for Democrats to take action on climate crisis,The Guardian,Climate Crisis
, Chancellor urged to double funding to tackle climate crisis,The Guardian,Climate Crisis
2019-08-14, We’re crying out for a government ad campaign on how to halt the climate crisisJoshua Curiel,The Guardian,Climate Crisis
2021-04-14," In 100 days, the climate emergency may be even more serious. That's why we’re launching this seriesJohn Mulholland",The Guardian,Climate Crisis
2019-03-15, Global citizens' assembly planned to address climate crisis,The Guardian,Climate Crisis
2019-06-27,Carrie Symonds warns politicians of 'gigantic' climate crisis responsibility,The Guardian,Climate Crisis
